Month,all,coal,gas,nuclear,hydro,wind,solar
Sep 2013,340940.90155,133110.43729,102063.23334,65798.971,16961.1523,11674.08115,
Aug 2013,385285.74515,149426.0529,121156.39696,71344.379,21633.31561,9633.88368,
Jul 2013,394845.6208,152866.8527,120770.9808,70539.238,27254.5715,11093.61355,
Jun 2013,356822.64723,138283.21603,99615.06431,66429.69,27384.06656,13748.10576,
May 2013,322155.64042,119512.5,83815.59186,62848.155,28450.09411,16238.70213,
Apr 2013,299332.86831,111834.68254,78036.43182,56766.882,25097.10474,17476.27429,
Mar 2013,325398.83402,130633.56036,84725.25919,62947.389,20534.35802,15755.65337,
Feb 2013,309728.08,123546.80484,80283.07377,61483.385,20418.46514,14075.59068,
Jan 2013,348967.37792,138104.82108,88559.05007,71405.817,24828.52759,14738.50426,
Dec 2012,334634.74915,134078.90757,83989.0974,68583.669,22984.35228,14523.51758,
Nov 2012,305975.85101,128727.0657,80169.46107,56712.757,18733.31916,11648.4968,
Oct 2012,311651.9307,120999.33876,91725.37056,59743.218,16501.69662,12635.90112,
Sep 2012,334585.56266,125588.60805,108012.30069,64510.882,17603.96419,8789.86546,
Aug 2012,395699.74917,152181.05516,131735.86442,69602.111,23033.72581,8469.41899,
Jul 2012,414641.21748,160450.26253,138862.84998,69129.329,26491.04579,8823.083,
Jun 2012,360825.3809,131261.03605,115597.50323,65140.085,26657.66222,11972.15949,
May 2012,336516.15597,115982.64658,107351.81228,62081.445,28641.31224,12540.32427,
Apr 2012,295229.20493,96285.44067,94828.59637,55870.931,26295.39842,12709.03261,
Mar 2012,309089.55207,105525.54678,92250.65327,61728.613,25906.63425,14027.34496,
Feb 2012,309389.43252,113872.04689,90609.78234,63847.023,20283.9644,11051.71417,
Jan 2012,339526.48011,129090.98981,90760.88378,72381.186,23107.14392,13630.85627,
Dec 2011,335740.46276,132928.71614,86121.62582,71837.372,23731.94371,10655.77473,
Nov 2011,304102.15444,121462.71077,75441.29818,64473.88,20680.52743,12438.55312,
Oct 2011,308698.50358,126626.97282,78819.20708,63336.97,19787.38961,10525.42896,
Sep 2011,337931.3176,140941.1491,91739.07009,66848.854,21377.59172,6869.0293,
Aug 2011,406511.31471,171280.53388,119855.79257,71338.566,25763.57824,7473.59402,
Jul 2011,418692.75464,176585.81965,119623.59113,72344.85,31284.63456,7488.62905,
Jun 2011,367727.015,158055.21258,90691.11156,65270.134,32151.21433,10985.06912,
May 2011,323628.23805,137101.56497,75242.79679,57012.914,32586.92609,11772.16075,
Apr 2011,302400.72444,124488.2575,70028.99891,54547.338,31194.3065,12421.65683,
Mar 2011,318709.9409,134845.23138,65947.12043,65661.598,31134.47075,10544.64605,
Feb 2011,313126.60705,138311.15723,65923.98289,64789.078,24131.22605,10451.5619,
Jan 2011,362871.89295,170802.67931,74254.33381,72742.813,25531.09446,8550.4948,
Dec 2010,362119.08129,167258.08616,77573.32016,73683.304,23169.07145,9059.29736,
Nov 2010,306009.62912,135185.04538,69226.55984,62655.206,19561.55003,9747.6191,
Oct 2010,307920.69056,132269.83506,77738.33651,62750.833,17682.97635,7943.80761,
Sep 2010,346045.17182,148745.67169,93004.17649,69371.195,17265.20646,7105.5022,
Aug 2010,408884.15537,177745.32008,121151.26856,71574.103,20119.23218,6685.85505,
Jul 2010,409725.44035,179600.4991,114624.20192,71913.468,24516.76133,6723.89118,
Jun 2010,375759.47838,165491.48889,92268.43063,68301.32156,29853.82693,8049.02142,
May 2010,327936.49155,143272.49362,73665.43824,66658.365,25079.21697,8697.52487,
Apr 2010,287800.22656,126951.88534,64644.025,57611.073,19096.66257,9764.45598,
Mar 2010,312167.64032,144405.63319,63430.66033,64634.721,20885.6628,8589.07682,
Feb 2010,319734.72667,153044.15909,66198.08,65245.37,20589.82989,5431.85793,
Jan 2010,360957.16695,173320.16091,74172.73601,72569.341,22383.07243,6854.33658,
Dec 2009,350507.29527,166434.03556,71589.60705,70710.218,24729.80834,6906.05833,
Nov 2009,296634.66996,136809.57521,63285.13196,59069.208,21007.70089,6875.18302,
Oct 2009,307040.34065,139955.57738,72602.72548,58020.927,19691.06826,6813.62592,
Sep 2009,327400.61189,137144.64798,92126.61784,65751.794,17358.71392,4650.70788,
Aug 2009,381221.41693,163260.48308,109239.55406,72244.597,19580.41655,5464.47362,
Jul 2009,372542.22554,158233.86912,101893.83251,72948.979,23384.74817,4954.94132,
Jun 2009,347658.24126,148086.77111,84205.18154,69734.736,29233.39456,5599.42191,
May 2009,311305.87215,131673.05752,68145.64662,65395.452,29559.65512,6261.9611,
Apr 2009,289537.25513,125934.97312,61158.67362,59408.407,25769.8074,7457.69602,
Mar 2009,310602.96381,135530.3278,68202.74331,67240.567,21827.45353,7099.06292,
Feb 2009,300887.39769,140915.78476,62138.85332,64227.211,17812.03175,5852.17501,
Jan 2009,354992.63621,171925.15034,66390.11321,74102.489,23490.29569,5950.82465,
Dec 2008,343898.25447,167785.73046,64363.64603,72931.328,20861.49062,6615.89854,
Nov 2008,310046.2412,154281.19798,61454.19852,63408.145,15667.93401,4993.64564,
Oct 2008,318547.34311,151840.71519,73283.33855,62820.353,15469.94246,4756.40094,
Sep 2008,338056.12999,161356.34732,79136.02998,67053.867,16178.19232,3111.45182,
Aug 2008,388986.71877,180576.49295,99673.49348,72617.066,21229.2774,3264.40615,
Jul 2008,402900.33624,186733.45633,100320.87805,74318.27,25555.08636,4008.40059,
Jun 2008,373109.02691,171043.27903,84619.97663,70319.366,29177.42712,5140.3764,
May 2008,325244.80192,154915.90135,62270.44712,64825.901,27221.14742,5340.28392,
Apr 2008,305865.03122,146983.02391,63046.09796,57332.716,22233.93205,5225.28203,
Mar 2008,324629.84959,160743.24304,62170.57985,64716.468,21668.93847,4782.01995,
Feb 2008,325105.5971,166666.35479,60042.0118,65130.385,18788.8861,3851.7487,
Jan 2008,362998.42904,182875.5043,72599.9011,70734.57,20779.13078,4273.1854,
Dec 2007,346290.33052,173829.86553,66807.82797,71982.726,18341.67452,3490.23188,
Nov 2007,314102.5426,159382.45455,60636.79925,64899.278,15682.053,3095.03643,
Oct 2007,332615.41638,162234.35613,78358.02381,61689.542,14796.43375,3376.54028,
Sep 2007,355393.91186,169391.27283,88531.61471,67578.578,14742.53418,2866.72155,
Aug 2007,421796.65927,190134.81633,121338.42663,72750.91,19940.55104,2699.36469,
Jul 2007,393226.43225,185053.78761,97482.67572,72738.535,22477.76053,2158.37244,
Jun 2007,362754.87722,173512.88404,81511.45079,68923.074,22816.60812,2620.41645,
May 2007,330202.75802,157513.28116,66469.7005,65024.555,26046.97643,2952.34063,
Apr 2007,303129.0636,146249.54121,60152.84758,57301.424,23890.58301,3171.70315,
Mar 2007,320471.24253,159811.07388,56203.82094,64305.153,24163.45595,3047.09243,
Feb 2007,323230.39483,163602.81256,57622.07125,65224.794,18566.63325,2519.79285,
Jan 2007,353531.09477,175739.4377,61474.53193,74006.184,26044.71053,2452.31464,
Dec 2006,336283.2459,173508.95112,56128.18599,70489.681,21595.95122,2471.68958,
Nov 2006,309158.82642,159439.51728,53439.69272,61392.321,20271.72257,2540.48864,
Oct 2006,321567.09131,161389.65914,70640.03895,57509.306,17055.17699,2442.12988,
Sep 2006,332055.32084,161590.35416,72673.34798,66642.327,17201.46086,1879.14378,
Aug 2006,407762.53636,189454.92967,106591.66595,72016.095,21728.3537,1655.18688,
Jul 2006,410420.79333,187820.87151,108093.51438,72186.494,25439.39237,1955.06423,
Jun 2006,364259.79756,169693.4782,81060.20993,68391.472,29757.28409,2051.76563,
May 2006,330615.57003,157009.75508,65585.60534,62775.701,30818.44294,2458.6826,
Apr 2006,297858.07754,141426.23364,56090.85628,57567.204,28555.68297,2471.76225,
Mar 2006,318729.79961,161325.11525,54921.74189,63720.849,24624.60881,2358.63174,
Feb 2006,307333.43003,158616.18891,47408.9894,62615.654,24761.68318,1921.95844,
Jan 2006,328657.73849,169236.08057,43806.92078,71911.532,27436.65597,2382.63335,
Dec 2005,348101.07055,177965.17958,53992.60122,71735.067,22141.15675,1827.81389,
Nov 2005,306115.23623,158797.52701,49440.22594,62912.709,19352.66779,1609.69148,
